data;ds_cardapio;num_refeicao_ru;num_refeicao_rl;num_refeicao_rs;num_refeicoes_planejadas;num_refeicoes_servidas
06/02/2012;SALSICHA AO MOLHO DE TOMATE -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE REPOLHO - BARRA DE CEREAL DE FRUTAS SECAS E OLEAGINOSAS, C/25G , DOCE DE FIGO EM CALDA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5020.00;0.00;0.00;5.020.000;4.461.000
07/02/2012;CARNE MOÍDA COM ABÓBORA -  - ARROZ BRANCO , ARROZ COM PASSAS - FEIJÃO - PTS - SALADA DE ALFACE LISA - IOGURTE SABOR MORANGO - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5600.00;0.00;0.00;5.600.000;3.911.000
07/02/2012;SALSICHA COM PRESUNTO E ERVILHA - REPOLHO A CHINESA - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE BATATA BRASILEIRA - MAÇA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;930.00;0.00;0.00;930.000;856.000
08/02/2012;FRANGO AO MOLHO DE ESCABECHE -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA - LARANJA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5600.00;0.00;0.00;5.600.000;4.331.000
08/02/2012;CARNE MOÍDA COM BATATA -  - ARROZ BRANCO - FEIJÃO -  - SALADA DE ALFACE CRESPA - IOGURTE SABOR MORANGO - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;1100.00;0.00;0.00;1.100.000;828.000
09/02/2012;ROLÊ DE CARNE AO MOLHO INGLÊS -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE PEPINO - BANANA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;6000.00;0.00;0.00;6.000.000;4.527.000
09/02/2012;FRANGO FRITO - CHUCHU REFOGADO - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE BETERRABA -  - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;1200.00;0.00;0.00;1.200.000;804.000
10/02/2012;CARNE PICADA À ROMANESCA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CENOURA - BARRA DE CEREAL DE FRUTAS COM COBERTURA DE CHOCOLATE, C/25G - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5750.00;0.00;0.00;5.750.000;4.174.000
10/02/2012;ROLÊ DE CARNE AO MOLHO DE TOMATE -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ACELGA COM ABACAXI - BANANA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;900.00;0.00;0.00;900.000;639.000
13/02/2012;CARNE PICADA COM MANDIOQUINHA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE REPOLHO - MAÇA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;1160.00;0.00;0.00;1.160.000;761.000
13/02/2012;ALMÔNDEGA AO MOLHO - VIRADO DE MILHO VERDE - ARROZ BRANCO - FEIJÃO - PTS -  - LARANJA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5100.00;0.00;0.00;5.100.000;4.736.000
14/02/2012;NUGGETS FRITO - BERINJELA AO MOLHO SUGO - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA - BANANA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5850.00;0.00;0.00;5.850.000;4.842.000
14/02/2012;ALMÔNDEGA AO MOLHO - PURÊ DE BATATA EM FLOCOS - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHUCHU - GELATINA DE LIMÃO - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO -  -  - TEMPERO SELF - ;1160.00;0.00;0.00;1.160.000;887.000
15/02/2012;BIFE AO MOLHO PRIMAVERA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ACELGA - DOCE DE ABÓBORA EM CALDA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5700.00;0.00;0.00;5.700.000;4.533.000
